Product,Category,Price,Stock,Description
Laptop,Electronics,999,50,High-performance laptop for professionals
Smartphone,Electronics,699,120,Latest smartphone with advanced features
Tablet,Electronics,399,80,Portable tablet for work and entertainment
Smart Watch,Wearables,299,200,Fitness tracking and health monitoring
Wireless Earbuds,Electronics,149,150,Noise-cancelling wireless earbuds
Gaming Mouse,Electronics,79,90,Precision gaming mouse with RGB lighting
Mechanical Keyboard,Electronics,129,60,RGB mechanical keyboard for gamers
Monitor,Electronics,349,40,4K monitor for professional work
Webcam,Electronics,89,100,HD webcam for video conferencing
USB-C Hub,Electronics,49,200,Multi-port USB-C hub for laptops
Laptop Stand,Accessories,39,150,Ergonomic laptop stand
Mouse Pad,Accessories,19,300,Large gaming mouse pad
Cable Organizer,Accessories,12,500,Cable management solution
Screen Protector,Accessories,25,400,Anti-glare screen protector
Laptop Bag,Accessories,59,80,Professional laptop backpack

